"title","model","condition","yom","mileage","price"
"Subaru XV 2014 Yellow","XV","Foreign Used","2014",NA,2000000
"Subaru Outback 2015 Gold","Outback","Foreign Used","2015",79241,3300000
"Subaru Impreza 2012 1.6 Sport Silver","Impreza","Kenyan Used","2012",95300,1030000
"Subaru Outback 2008 Black","Outback","Kenyan Used","2008",153693,1200000
"Subaru Legacy 2015 Silver","Legacy","Foreign Used","2015",75412,1700000
"Subaru Forester 2014 Silver","Forester","Foreign Used","2014",54845,2700000
"Subaru Outback 2011 Pearl","Outback","Kenyan Used","2011",75000,1650000
"Subaru Levorg 2014 White","Levorg","Foreign Used","2014",NA,1850000
"Subaru Forester 2014 White","Forester","Foreign Used","2014",93000,2650000
"Subaru Outback 2014 Teal","Outback","Foreign Used","2014",NA,3200000
"Subaru Outback 2015 Beige","Outback","Foreign Used","2015",86322,3500000
"Subaru XV 2014 White","XV","Foreign Used","2014",52123,2000000
"Subaru XV 2014 White","XV","Foreign Used","2014",56124,1990000
"Subaru Impreza 2013 2.0i 4-dr Gray","Impreza","Foreign Used","2013",56000,1050000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",77000,2990000
"Subaru Outback 2015 Beige","Outback","Foreign Used","2015",42121,3400000
"Subaru Forester 2009 2.5XT Black","Forester","Kenyan Used","2009",145000,1400000
"Subaru Levorg 2015 Silver","Levorg","Foreign Used","2015",60000,2200000
"Subaru Outback 2008 2.5 XT Limited Gold","Outback","Kenyan Used","2008",193000,1320000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",74000,2400000
"Subaru XV 2014","XV","Foreign Used","2014",560000,1750000
"Subaru Outback 2015 Gray","Outback","Foreign Used","2015",93000,3650000
"Subaru Forester 2015 Silver","Forester","Foreign Used","2015",48000,2550000
"Subaru Outback 2003 2.5i Automatic Black","Outback","Kenyan Used","2003",NA,695000
"Subaru Legacy 2014 White","Legacy","Foreign Used","2014",80000,1700000
"Subaru Outback 2015 Silver","Outback","Foreign Used","2015",65807,3450000
"Subaru Forester 2014 Gray","Forester","Kenyan Used","2014",NA,1690000
"Subaru XV 2015 Hybrid Matt Black","XV","Foreign Used","2015",96380,1950000
"Subaru Impreza 2014 Blue","Impreza","Foreign Used","2014",NA,1900000
"Subaru Impreza 2014 White","Impreza","Foreign Used","2014",90000,1250000
"Subaru Legacy 2015 White","Legacy","Foreign Used","2015",89563,1590000
"Subaru Forester 2014 Black","Forester","Foreign Used","2014",NA,2500000
"Subaru Forester 2014 SV Premium Silver","Forester","Foreign Used","2014",47500,2400000
"Subaru Forester 2014 Silver","Forester","Foreign Used","2014",102115,3000000
"Subaru Forester 2014 Gray","Forester","Foreign Used","2014",52000,2300000
"Subaru Forester 2015 Gray","Forester","Foreign Used","2015",107000,2650000
"Subaru Outback 2015 Blue","Outback","Kenyan Used","2015",70019,2980000
"Subaru XV 2014 Silver","XV","Foreign Used","2014",69421,1950000
"Subaru Outback 2006 Silver","Outback","Kenyan Used","2006",145908,845000
"Subaru Legacy 2013 Black","Legacy","Foreign Used","2013",102000,1850000
"Subaru Forester 2014 Gray","Forester","Foreign Used","2014",89563,2400000
"Subaru Impreza 2014 Black","Impreza","Foreign Used","2014",89630,1400000
